# Nodes
x,y,is_start,is_end
3,3,False,False
4,3,True,False
4,1,False,False
1,3,False,False
3,2,False,False
0,3,False,False
1,1,False,False
0,2,False,False
0,0,False,False
0,1,False,True
1,0,False,False
3,1,False,False
2,2,False,False
2,1,False,False
3,0,False,False
2,0,False,False
1,2,False,False
4,0,False,False

# Edges (Adjacency List)
source_x,source_y,neighbor_x,neighbor_y
3,3,4,3
3,3,1,3
3,3,3,2
4,3,3,3
4,3,4,1
4,1,4,3
4,1,4,0
1,3,3,3
1,3,0,3
1,3,1,1
3,2,3,3
3,2,3,1
3,2,2,2
0,3,1,3
0,3,0,2
1,1,1,3
1,1,0,1
1,1,1,0
0,2,0,3
0,2,0,0
0,0,0,2
0,1,1,1
1,0,1,1
3,1,3,2
3,1,2,1
3,1,3,0
2,2,3,2
2,2,1,2
2,1,3,1
2,1,2,0
3,0,3,1
2,0,2,1
1,2,2,2
4,0,4,1
