# Nodes
x,y,is_start,is_end
0,2,True,False
2,2,False,False
6,2,False,False
8,2,False,False
8,8,False,False
9,8,False,False
9,0,False,False
8,0,False,False
3,0,False,False
2,0,False,False
0,0,False,False
0,1,False,False
7,1,False,False
9,1,False,False
7,7,False,False
0,7,False,False
0,8,False,False
4,8,False,False
4,1,False,False
4,0,False,False
4,9,False,False
3,9,False,False
1,9,False,False
1,5,False,False
1,0,False,False
6,5,False,False
7,5,False,False
9,5,False,True
0,5,False,False
0,9,False,False
3,6,False,False
7,6,False,False
9,6,False,False
2,6,False,False
1,6,False,False
0,6,False,False
2,3,False,False
7,3,False,False
9,3,False,False
1,3,False,False
0,3,False,False
2,9,False,False
9,9,False,False
5,8,False,False
5,5,False,False
5,0,False,False
5,9,False,False
7,9,False,False
8,7,False,False
9,7,False,False
7,0,False,False
8,1,False,False
8,9,False,False
9,2,False,False
6,8,False,False
6,9,False,False
6,1,False,False
6,0,False,False

# Edges (Adjacency List)
source_x,source_y,neighbor_x,neighbor_y
4,8,0,8
7,6,9,6
7,6,3,6
6,0,6,1
2,6,1,6
9,1,7,1
2,9,2,6
8,8,9,8
5,5,5,8
9,9,4,9
0,8,0,7
8,0,9,0
6,2,2,2
2,3,7,3
1,9,3,9
6,8,6,2
6,5,7,5
6,5,1,5
7,9,7,7
0,1,0,0
2,0,3,0
4,0,4,1
0,0,2,0
3,6,2,6
8,9,8,8
3,6,3,9
7,7,0,7
0,6,1,6
3,9,4,9
7,7,8,7
0,5,1,5
8,2,9,2
2,2,0,2
8,7,9,7
1,0,1,5
7,5,9,5
7,3,9,3
6,2,6,1
7,1,7,7
8,1,8,0
5,9,5,8
8,8,8,2
4,8,4,1
4,9,4,8
1,3,2,3
9,8,9,0
6,9,6,8
8,2,6,2
5,0,5,5
7,0,7,1
3,0,8,0
0,1,7,1
5,8,4,8
0,9,1,9
1,5,1,9
2,6,2,3
0,3,1,3
