# Nodes
x,y,is_start,is_end
3,9,False,False
4,9,True,False
4,8,False,False
5,9,False,False
2,9,False,False
3,8,False,False
2,8,False,False
0,9,False,False
0,8,False,False
2,7,False,False
0,7,False,False
0,5,False,False
1,7,False,False
0,3,False,False
1,5,False,False
0,2,False,False
1,3,False,False
1,2,False,False
0,1,False,False
1,1,False,False
2,2,False,False
1,0,False,False
2,1,False,False
0,0,False,False
2,0,False,False
3,0,False,False
3,1,False,False
2,3,False,False
3,2,False,False
3,3,False,False
2,4,False,False
4,3,False,False
3,4,False,False
5,3,False,False
4,1,False,False
4,4,False,False
5,4,False,False
5,2,False,False
6,3,False,False
5,5,False,False
6,4,False,False
4,5,False,False
4,6,False,False
2,5,False,False
4,7,False,False
5,6,False,False
2,6,False,False
3,7,False,False
5,7,False,False
5,8,False,False
6,8,False,False
6,7,False,False
6,6,False,False
6,5,False,False
7,6,False,False
7,5,False,False
6,2,False,False
7,3,False,False
4,2,False,False
6,1,False,False
7,2,False,False
5,1,False,False
7,1,False,False
6,0,False,False
5,0,False,False
4,0,False,False
7,0,False,False
8,0,False,False
8,1,False,False
9,1,False,False
8,2,False,False
9,0,False,True
9,2,False,False
9,3,False,False
8,3,False,False
8,4,False,False
9,4,False,False
9,5,False,False
8,5,False,False
7,4,False,False
8,6,False,False
7,7,False,False
9,6,False,False
8,7,False,False
9,7,False,False
9,8,False,False
8,8,False,False
6,9,False,False
7,8,False,False
7,9,False,False
8,9,False,False
9,9,False,False
3,6,False,False
0,6,False,False
0,4,False,False
1,6,False,False
1,4,False,False
1,8,False,False
1,9,False,False

# Edges (Adjacency List)
source_x,source_y,neighbor_x,neighbor_y
3,9,4,9
4,8,4,9
5,9,4,9
2,9,3,9
3,8,3,9
2,8,2,9
0,9,2,9
0,8,2,8
2,7,2,8
3,8,2,8
0,9,0,8
0,7,0,8
0,5,0,7
1,7,0,7
0,3,0,5
1,5,0,5
0,2,0,3
1,3,0,3
1,2,0,2
0,1,0,2
1,1,1,2
2,2,1,2
1,3,1,2
1,0,1,1
2,1,1,1
0,1,1,1
0,0,1,0
2,0,1,0
0,1,0,0
2,1,2,0
3,0,2,0
2,2,2,1
3,1,2,1
2,3,2,2
3,2,2,2
3,3,2,3
1,3,2,3
2,4,2,3
4,3,3,3
3,1,3,3
3,4,3,3
5,3,4,3
4,1,4,3
4,4,4,3
5,4,5,3
5,2,5,3
6,3,5,3
4,4,5,4
5,5,5,4
6,4,5,4
4,5,4,4
3,4,4,4
4,6,4,5
2,5,4,5
5,5,4,5
4,7,4,6
5,6,4,6
2,6,4,6
4,8,4,7
3,7,4,7
5,7,4,7
5,8,4,8
3,8,4,8
5,7,5,8
6,8,5,8
5,9,5,8
5,6,5,7
6,7,5,7
6,6,5,6
5,5,5,6
6,5,6,6
7,6,6,6
6,7,6,6
6,3,6,5
7,5,6,5
5,5,6,5
6,2,6,3
7,3,6,3
4,2,6,2
6,1,6,2
7,2,6,2
3,2,4,2
5,1,6,1
7,1,6,1
6,0,6,1
5,2,5,1
4,1,5,1
5,0,5,1
3,1,4,1
4,0,4,1
3,0,3,1
4,0,3,0
5,0,4,0
6,0,5,0
7,0,6,0
7,1,7,0
8,0,7,0
8,1,7,1
7,2,7,1
9,1,8,1
8,2,8,1
8,0,8,1
9,0,9,1
9,2,9,1
8,0,9,0
8,2,9,2
9,3,9,2
8,3,8,2
7,2,8,2
9,3,8,3
7,3,8,3
8,4,8,3
9,4,9,3
8,4,9,4
9,5,9,4
8,5,8,4
7,4,8,4
7,5,8,5
9,5,8,5
8,6,8,5
7,4,7,5
7,6,7,5
7,3,7,4
6,4,7,4
7,2,7,3
8,6,7,6
7,7,7,6
9,6,8,6
8,7,8,6
9,7,9,6
9,5,9,6
8,7,9,7
9,8,9,7
6,7,8,7
8,8,8,7
6,8,6,7
6,9,6,8
7,8,6,8
7,9,6,9
5,9,6,9
7,7,7,9
8,9,7,9
9,9,8,9
8,8,8,9
9,8,9,9
8,8,9,8
7,8,8,8
3,6,3,8
2,6,3,6
3,4,3,6
2,5,2,6
0,6,2,6
2,7,2,6
2,4,2,5
1,5,2,5
3,4,2,4
0,4,2,4
1,6,1,5
1,4,1,5
0,6,1,6
1,7,1,6
2,7,1,7
1,8,1,7
3,7,2,7
1,9,1,8
1,3,1,4
