# Nodes
x,y,is_start,is_end
8,0,True,False
7,0,False,False
7,3,False,False
9,3,False,False
9,5,False,False
9,7,False,False
8,7,False,False
8,2,False,False
5,2,False,False
1,2,False,False
1,6,False,False
1,8,False,False
4,8,False,False
4,6,False,False
4,3,False,False
3,3,False,False
3,7,False,False
6,7,False,False
6,4,False,False
7,4,False,False
8,4,False,False
9,4,False,False
2,4,False,False
0,4,False,False
0,6,False,False
0,8,False,False
0,9,False,False
1,9,False,False
6,9,False,False
8,9,False,False
9,9,False,True
9,8,False,False
7,8,False,False
7,7,False,False
7,6,False,False
9,6,False,False
6,6,False,False
5,6,False,False
5,4,False,False
5,8,False,False
5,9,False,False
7,9,False,False
8,8,False,False
0,3,False,False
0,0,False,False
1,0,False,False
3,0,False,False
3,1,False,False
8,1,False,False
9,1,False,False
9,0,False,False
9,2,False,False
2,1,False,False
0,1,False,False
2,0,False,False
2,2,False,False
1,1,False,False
2,7,False,False
1,7,False,False
0,7,False,False
2,8,False,False
2,9,False,False
6,3,False,False
6,2,False,False
6,1,False,False
6,0,False,False
5,3,False,False
3,9,False,False
4,2,False,False
4,1,False,False
4,0,False,False
4,9,False,False
0,2,False,False
5,1,False,False
5,0,False,False
7,5,False,False
3,5,False,False
1,5,False,False
0,5,False,False

# Edges (Adjacency List)
source_x,source_y,neighbor_x,neighbor_y
5,4,5,6
0,3,0,0
7,6,9,6
1,8,1,6
4,6,4,3
3,5,1,5
6,0,6,1
7,6,6,6
7,6,7,7
0,6,0,4
3,7,3,3
7,8,7,7
7,0,7,3
5,8,5,6
7,0,8,0
5,2,1,2
2,9,2,8
2,1,0,1
4,1,4,2
2,4,2,7
7,8,7,9
3,0,3,1
9,9,9,8
7,5,3,5
2,8,2,7
9,1,8,1
9,4,8,4
4,0,4,1
2,7,1,7
5,0,5,1
9,2,9,1
6,4,6,7
5,2,5,1
1,0,3,0
8,2,5,2
8,9,8,8
1,2,0,2
6,3,6,2
1,1,1,0
6,6,5,6
5,3,6,3
4,3,3,3
0,4,2,4
9,1,9,0
1,6,1,2
0,5,1,5
8,7,9,7
0,0,1,0
4,8,4,6
2,0,2,1
2,4,6,4
2,2,2,1
9,5,9,7
4,3,4,2
7,5,9,5
8,9,9,9
7,3,9,3
8,9,6,9
3,7,6,7
6,2,6,1
0,6,0,8
6,9,1,9
5,9,5,8
3,1,8,1
4,9,4,8
6,4,7,4
3,7,3,9
9,3,9,5
1,7,0,7
1,8,4,8
8,7,8,2
2,1,3,1
7,4,8,4
7,8,9,8
0,4,0,3
0,9,1,9
0,9,0,8
6,4,6,3
