# Nodes
x,y,is_start,is_end
4,5,False,False
9,5,True,False
9,6,False,False
9,1,False,False
1,5,False,False
4,0,False,False
4,7,False,False
1,9,False,False
1,0,False,False
0,5,False,False
0,9,False,False
2,9,False,False
0,2,False,False
5,2,False,False
0,1,False,False
5,1,False,False
5,3,False,False
9,2,False,False
3,1,False,False
7,1,False,False
5,0,False,False
3,4,False,False
3,0,False,False
0,0,False,False
6,0,False,False
9,0,False,False
6,2,False,False
8,1,False,False
8,8,False,False
8,0,False,False
5,8,False,False
9,8,False,False
8,9,False,False
1,8,False,False
5,7,False,False
5,9,False,False
0,8,False,False
7,7,False,False
3,7,False,False
5,5,False,False
7,0,False,False
8,7,False,False
7,9,False,False
9,7,False,False
9,9,False,False
1,6,False,False
0,6,False,True
4,9,False,False
3,9,False,False
2,3,False,False
7,3,False,False
2,2,False,False
0,3,False,False
8,3,False,False
9,3,False,False
2,0,False,False
1,7,False,False
3,5,False,False
0,7,False,False
6,4,False,False
1,4,False,False
8,4,False,False
6,3,False,False
6,6,False,False
9,4,False,False
6,8,False,False
6,9,False,False
0,4,False,False

# Edges (Adjacency List)
source_x,source_y,neighbor_x,neighbor_y
4,5,9,5
4,5,1,5
4,5,4,0
4,5,4,7
9,5,4,5
9,5,9,6
9,5,9,1
9,6,9,5
9,6,9,7
9,6,1,6
9,1,9,5
9,1,9,0
9,1,8,1
1,5,4,5
1,5,1,9
1,5,1,0
1,5,0,5
4,0,4,5
4,7,4,5
4,7,4,9
1,9,1,5
1,9,0,9
1,9,2,9
1,0,1,5
0,5,1,5
0,9,1,9
0,9,0,2
2,9,1,9
2,9,3,9
2,9,2,3
0,2,0,9
0,2,5,2
0,2,0,1
5,2,0,2
5,2,5,1
5,2,5,3
5,2,9,2
0,1,0,2
0,1,3,1
0,1,0,0
5,1,5,2
5,1,3,1
5,1,7,1
5,1,5,0
5,3,5,2
5,3,5,5
9,2,5,2
9,2,6,2
3,1,5,1
3,1,0,1
3,1,3,4
3,1,3,0
7,1,5,1
7,1,8,1
5,0,5,1
5,0,3,0
5,0,6,0
3,4,3,1
3,4,3,5
3,4,6,4
3,4,1,4
3,0,3,1
3,0,0,0
3,0,5,0
0,0,0,1
0,0,3,0
6,0,5,0
6,0,9,0
6,0,6,2
9,0,6,0
9,0,9,1
6,2,6,0
6,2,6,3
6,2,9,2
8,1,9,1
8,1,8,8
8,1,8,0
8,1,7,1
8,8,8,1
8,8,5,8
8,8,9,8
8,8,8,9
8,0,8,1
5,8,8,8
5,8,1,8
5,8,5,7
5,8,5,9
9,8,8,8
8,9,8,8
1,8,5,8
1,8,0,8
5,7,5,8
5,7,7,7
5,7,3,7
5,7,5,5
5,9,5,8
5,9,9,9
5,9,4,9
0,8,1,8
7,7,5,7
7,7,7,0
7,7,8,7
7,7,7,9
3,7,5,7
3,7,3,9
3,7,1,7
3,7,3,5
5,5,5,7
5,5,5,3
7,0,7,7
8,7,7,7
8,7,9,7
7,9,7,7
9,7,8,7
9,7,9,6
9,7,9,9
9,9,9,7
9,9,5,9
1,6,9,6
1,6,0,6
0,6,1,6
4,9,5,9
4,9,3,9
4,9,4,7
3,9,4,9
3,9,2,9
3,9,3,7
2,3,2,9
2,3,7,3
2,3,2,2
2,3,0,3
7,3,2,3
7,3,8,3
2,2,2,3
2,2,2,0
0,3,2,3
8,3,7,3
8,3,9,3
9,3,8,3
2,0,2,2
1,7,3,7
1,7,0,7
3,5,3,7
3,5,3,4
0,7,1,7
6,4,3,4
6,4,8,4
6,4,6,3
6,4,6,6
1,4,3,4
1,4,0,4
8,4,6,4
8,4,9,4
6,3,6,4
6,3,6,2
6,6,6,4
6,6,6,8
9,4,8,4
6,8,6,6
6,8,6,9
6,9,6,8
0,4,1,4
